time,mouse_x,mouse_y
1712572153.279,496,1151
1712572154.281,496,1151
1712572155.283,496,1151
1712572156.285,496,1151
1712572157.303,496,1151
1712572158.304,496,1151
1712572159.306,496,1151
1712572160.309,496,1151
1712572161.311,496,1151
1712572162.313,496,1151
1712572163.314,496,1151
1712572164.316,496,1151
1712572165.318,496,1151
1712572166.320,496,1151
1712572167.322,496,1151
1712572168.323,496,1151
1712572169.325,496,1151
1712572170.327,496,1151
1712572171.329,496,1151
1712572172.330,496,1151
1712572173.340,496,1151
1712572174.342,496,1151
1712572175.344,496,1151
1712572176.345,496,1151
1712572177.367,496,1151
1712572178.369,496,1151
1712572179.371,496,1151
1712572180.386,496,1151
1712572181.388,496,1151
1712572182.390,496,1151
1712572183.392,496,1151
1712572184.394,496,1151
1712572185.395,496,1151
1712572186.397,496,1151
1712572187.399,496,1151
1712572188.401,496,1151
1712572189.403,496,1151
1712572190.404,496,1151
1712572191.406,496,1151
1712572192.408,496,1151
1712572193.410,496,1151
1712572194.412,496,1151
1712572195.413,496,1151
1712572196.415,496,1151
1712572197.417,496,1151
1712572198.419,496,1151
1712572199.421,496,1151
1712572200.422,496,1151
1712572201.424,496,1151
1712572202.426,496,1151
1712572203.428,496,1151
1712572204.430,496,1151
1712572205.431,496,1151
1712572206.433,496,1151
1712572207.435,496,1151
1712572208.437,496,1151
1712572209.439,496,1151
1712572210.441,496,1151
1712572211.442,496,1151
1712572212.444,496,1151
1712572213.446,496,1151
1712572214.448,496,1151
1712572215.450,496,1151
1712572216.452,496,1151
1712572217.454,496,1151
1712572218.455,496,1151
1712572219.457,496,1151
1712572220.459,496,1151
1712572221.461,496,1151
1712572222.463,496,1151
1712572223.464,496,1151
1712572224.466,496,1151
1712572225.468,496,1151
1712572226.470,496,1151
1712572227.472,496,1151
1712572228.473,496,1151
1712572229.475,496,1151
1712572230.477,496,1151
1712572231.479,496,1151
1712572232.481,496,1151
1712572233.483,496,1151
1712572234.485,496,1151
1712572235.486,496,1151
1712572236.488,496,1151
1712572237.490,496,1151
1712572238.492,496,1151
1712572239.494,496,1151
1712572240.496,496,1151
1712572241.498,496,1151
1712572242.499,496,1151
1712572243.501,496,1151
1712572244.503,496,1151
1712572245.505,496,1151
1712572246.507,496,1151
1712572247.508,496,1151
1712572248.510,496,1151
1712572249.512,496,1151
1712572250.514,496,1151
1712572251.516,496,1151
1712572252.517,496,1151
1712572253.519,496,1151
1712572254.521,496,1151
1712572255.523,496,1151
1712572256.525,496,1151
1712572257.526,496,1151
1712572258.528,496,1151
1712572259.530,496,1151
1712572260.532,496,1151
1712572261.534,496,1151
1712572262.559,496,1151
1712572263.567,496,1151
1712572264.569,496,1151
1712572265.571,496,1151
1712572266.579,496,1151
1712572267.603,496,1151
1712572268.619,496,1151
